Step,Lsp-Offload S=1024 d=4,Lsp-Offload S=1280 d=4,Lora rank=8,Galore Value,Full Param,Lora rank=128,LSP-Offload d=1280 r=4
10,1.113399982,1.117799997,1.119500041,1.119500041,1.123000026,1.118499994,1.078799963
20,1.045400023,1.056300044,1.14380002,1.144600034,1.10650003,1.129199982,1.079200029
30,1.015499949,1.021000028,1.138800025,1.142500043,1.05490005,1.096400023,1.077900052
40,1.040400028,1.020900011,1.15199995,1.163100004,1.050500035,1.082499981,1.040500045
50,1.004799962,0.998899996,1.088600039,1.112400055,0.996100008,1.018399954,1.023100019
60,1.020599961,1.012899995,1.075099945,1.117599964,0.993799984,1.01699996,0.983500004
70,1.032899976,0.992200017,1.037199974,1.101099968,0.975799978,0.998099983,1.02820003
80,1.006700039,1.019899964,1.039999962,1.113700032,0.985099971,1.008399963,1.018700004
90,0.998700023,1.005399942,1.041700006,1.11559999,0.987399995,1.013299942,0.995400012
100,0.990400016,0.991599977,1.045400023,1.120800018,0.991999984,1.017699957,0.975499988
110,1.006600022,1.013000011,1.014999986,1.089699984,0.96359998,0.988099992,1.019199967
120,0.984200001,0.982500017,1.004699945,1.078799963,0.95539999,0.977900028,0.999599993
130,0.969500005,0.976899981,1.040199995,1.112400055,0.993399978,1.014000058,0.986199975
140,0.973399997,0.971700013,1.042099953,1.112800002,0.988699973,1.013800025,0.955799997
150,1.003399968,0.971899986,0.976599991,1.043799996,0.933200002,0.950299978,0.960399985
160,0.987200022,0.957799971,1.023900032,1.087599993,0.976599991,0.996699989,0.987100005
170,0.974699974,0.958000004,0.982500017,1.038300037,0.942399979,0.959599972,0.975799978
180,0.981000006,0.985000014,0.98150003,1.0352,0.940999985,0.958500028,0.966400027
190,1.015799999,0.96390003,0.997399986,1.049600005,0.957700014,0.975099981,0.93779999
200,0.987299979,0.967000008,0.999899983,1.052700043,0.96450001,0.977800012,0.92809999
210,0.971599996,0.944299996,1.005699992,1.058200002,0.968100011,0.984499991,0.958800018
220,0.958999991,0.976700008,0.981100023,1.034700036,0.947899997,0.962000012,0.933799982
230,0.959699988,0.980599999,0.970099986,1.025400043,0.934499979,0.950500011,0.95630002
240,0.967400014,0.938300014,0.978299975,1.031399965,0.943700016,0.959200025,0.942799985
250,0.975000024,0.983799994,0.977199972,1.032400012,0.941399992,0.957099974,0.938000023
260,0.976800025,0.975199997,0.978600025,1.032299995,0.946699977,0.959599972,0.938199997
270,0.978299975,0.961199999,1,1.054100037,0.96509999,0.981400013,0.963500023
280,0.990100026,0.971300006,0.961099982,1.01639998,0.926400006,0.942700028,0.935699999
290,0.977100015,0.967400014,0.967899978,1.020900011,0.932500005,0.949100018,0.954599977
300,0.9648,0.971099973,1.001799941,1.056499958,0.968100011,0.98269999,0.965799987
310,0.956799984,0.953800023,1.001299977,1.054999948,0.968999982,0.98210001,0.963
320,0.98150003,0.931500018,0.984300017,1.038599968,0.950100005,0.966000021,0.959900022
330,0.956200004,0.954699993,0.971700013,1.025599957,0.937900007,0.952899992,0.961399972
340,0.983299971,0.973800004,0.968400002,1.023499966,0.934599996,0.948199987,0.96509999
350,0.945200026,0.95630002,1.007799983,1.06219995,0.970899999,0.988200009,0.92809999
360,0.956700027,0.960399985,0.968400002,1.023000002,0.932500005,0.948300004,0.980300009
370,0.948199987,0.98269999,0.957899988,1.012899995,0.925400019,0.938300014,0.956200004
380,0.956200004,0.963400006,1.007400036,1.062000036,0.973699987,0.987500012,0.947000027
390,0.941200018,0.961000025,0.981999993,1.03550005,0.94690001,0.961700022,0.935800016
400,0.959399998,0.949500024,0.984499991,1.038200021,0.952300012,0.964900017,0.938499987
410,0.928200006,0.964999974,0.967000008,1.018900037,0.934300005,0.9472,0.954999983
420,0.987299979,0.948800027,0.963999987,1.017799973,0.927699983,0.944899976,0.940599978
430,0.987900019,0.981100023,0.960500002,1.014299989,0.923900008,0.940199971,0.962000012
440,0.981899977,0.94630003,0.9745,1.02760005,0.940100014,0.954299986,0.979600012
450,0.958199978,0.984300017,0.968500018,1.023300052,0.934199989,0.947899997,0.938300014
460,0.948400021,0.978200018,0.96420002,1.017400026,0.928900003,0.943700016,0.93720001
470,0.952899992,0.962400019,0.953400016,1.004600048,0.919700027,0.933200002,0.94630003
480,0.956900001,0.959200025,0.978500009,1.030900002,0.944000006,0.957300007,0.961000025
490,0.952700019,0.952099979,0.968599975,1.019799948,0.934400022,0.948400021,0.932200015
500,0.931100011,0.955200016,0.983099997,1.0352,0.952700019,0.963199973,0.950200021
510,0.929799974,0.949699998,0.966300011,1.019099951,0.931299984,0.945800006,0.943000019
520,0.990100026,0.949699998,0.969099998,1.020200014,0.932699978,0.94749999,0.934800029
530,0.954200029,0.956799984,0.971099973,1.021999955,0.937300026,0.950399995,0.933700025
540,0.95539999,0.93870002,0.971700013,1.023599982,0.939499974,0.951300025,0.944700003
550,0.937699974,0.954900026,0.954100013,1.005800009,0.917800009,0.932699978,0.948800027
560,0.993499994,0.949999988,0.984399974,1.037400007,0.951399982,0.961899996,0.950200021
570,0.994700015,0.910399973,0.956399977,1.008000016,0.923399985,0.935699999,0.959399998
580,0.915600002,0.957599998,0.944999993,0.997799993,0.912299991,0.923600018,0.939599991
590,0.956499994,0.944500029,0.960900009,1.011999965,0.927699983,0.93900001,0.931800008
600,0.959699988,0.929099977,0.929799974,0.98089999,0.897099972,0.909099996,0.93900001
610,0.967199981,0.939599991,0.972100019,1.025200009,0.93720001,0.949400008,0.926699996
620,0.973399997,0.943899989,0.948899984,1.001899958,0.914600015,0.926900029,0.943799973
630,0.958500028,0.924899995,0.986000001,1.038599968,0.948599994,0.96329999,0.94660002
640,0.921999991,0.967499971,0.961799979,1.012199998,0.927600026,0.939899981,0.954100013
650,0.963100016,0.965900004,0.954299986,1.004600048,0.921800017,0.932799995,0.935599983
660,0.936200023,0.946500003,0.956499994,1.008599997,0.920000017,0.933799982,0.931299984
670,0.940199971,0.944700003,0.940699995,0.993799984,0.909699976,0.91839999,0.949000001
680,0.945299983,0.925499976,0.946699977,0.998700023,0.908399999,0.924300015,0.945200026
690,0.916700006,0.942300022,0.964699984,1.016600013,0.927200019,0.941900015,0.923300028
700,0.931800008,0.930299997,0.95599997,1.007099986,0.918299973,0.934899986,0.925100029
710,0.973999977,0.924799979,0.937099993,0.987600029,0.904299974,0.914699972,0.964900017
720,0.954299986,0.953000009,0.952899992,1.006100059,0.914200008,0.9296,0.953499973
730,0.93629998,0.917500019,0.984300017,1.037400007,0.943799973,0.960900009,0.963500023
740,0.938899994,0.960900009,0.96390003,1.014799953,0.927699983,0.940900028,0.9551
750,0.962199986,0.923099995,0.966700017,1.019400001,0.930700004,0.943700016,0.923900008
760,0.97359997,0.92930001,0.958100021,1.008399963,0.923900008,0.935899973,0.955500007
770,0.95569998,0.914300025,0.990100026,1.040599942,0.954900026,0.966899991,0.912899971
780,0.946200013,0.981400013,0.948499978,1.00059998,0.910300016,0.925400019,0.953800023
790,0.943799973,0.915400028,0.960300028,1.013299942,0.922200024,0.935899973,0.959100008
800,0.92930001,0.943599999,0.936600029,0.987999976,0.90109998,0.913500011,0.953599989
810,0.952300012,0.935800016,0.990800023,1.042999983,0.95569998,0.967100024,0.944299996
820,0.904900014,0.921299994,0.930499971,0.982800007,0.891799986,0.907999992,0.944199979
830,0.966799974,0.964600027,0.972500026,1.025599957,0.933700025,0.948199987,0.949699998
840,0.954599977,0.943499982,0.940400004,0.995000005,0.904500008,0.916599989,0.951799989
850,0.926800013,0.954900026,0.946399987,0.997799993,0.91109997,0.923099995,0.932299972
860,0.942600012,0.942099988,0.964100003,1.017400026,0.927600026,0.939499974,0.935899973
870,0.85799998,0.877499998,0.976499975,1.028900027,0.930800021,0.949999988,0.880900025
880,0.949699998,0.926500022,0.977299988,1.03579998,0.843800008,0.925199986,0.865100026
890,0.919399977,0.915499985,0.978799999,1.038400054,0.841600001,0.926599979,0.868300021
900,0.939700007,0.901899993,0.944700003,1.002400041,0.807699978,0.89200002,0.86619997
910,0.946699977,0.902100027,0.961700022,1.021499991,0.826799989,0.908699989,0.852400005
920,0.91109997,0.915600002,0.959399998,1.01970005,0.822600007,0.907199979,0.872099996
930,0.915600002,0.91079998,0.953700006,1.011800051,0.814300001,0.9005,0.885299981
940,0.941100001,0.913800001,0.936600029,0.998000026,0.805499971,0.88410002,0.868499994
950,0.960099995,0.917200029,0.963999987,1.024700046,0.828299999,0.910700023,0.876999974
960,0.925999999,0.908399999,0.927999973,0.986100018,0.799199998,0.877200007,0.882300019
970,0.932200015,0.928799987,0.935400009,0.995100021,0.804400027,0.884299994,0.867399991
980,0.915099978,0.895399988,0.955299973,1.016000032,0.827199996,0.903900027,0.868099988
990,0.914799988,0.902800024,0.955900013,1.01760006,0.827400029,0.903999984,0.886699975
1000,0.92839998,0.893400013,0.922500014,0.982200027,0.791599989,0.870800018,0.8829
1010,0.930499971,0.904200017,0.926500022,0.986199975,0.800599992,0.875400007,0.880900025
1020,0.935000002,0.907500029,0.953999996,1.013200045,0.825399995,0.903299987,0.887899995
1030,0.901799977,0.898299992,0.950900018,1.010599971,0.819400012,0.899299979,0.878499985
1040,0.927200019,0.931900024,0.945200026,1.003100038,0.819100022,0.894200027,0.862500012
1050,0.920599997,0.902999997,0.950500011,1.012599945,0.823800027,0.899500012,0.845799983
1060,0.92869997,0.906499982,0.942200005,0.999899983,0.815299988,0.891499996,0.886300027
1070,0.944800019,0.907000005,0.951200008,1.011500001,0.818400025,0.900200009,0.885100007
1080,0.91900003,0.921899974,0.946399987,1.004400015,0.822000027,0.896300018,0.894200027
1090,0.909600019,0.905499995,0.93599999,0.995000005,0.810299993,0.885999978,0.867699981
1100,0.898800015,0.924399972,0.96420002,1.022099972,0.838699996,0.914399981,0.885599971
1110,0.915400028,0.895399988,0.949899971,1.00909996,0.82130003,0.899100006,0.879499972
1120,0.940699995,0.894599974,0.928300023,0.985199988,0.809199989,0.878499985,0.882499993
1130,0.906700015,0.904200017,0.965600014,1.025900006,0.840900004,0.913600028,0.886099994
1140,0.934700012,0.91930002,0.960200012,1.019799948,0.834999979,0.909300029,0.879800022
1150,0.916999996,0.933000028,0.967400014,1.026900053,0.840900004,0.916100025,0.912800014
1160,0.932299972,0.91079998,0.941299975,1.000800014,0.812900007,0.890100002,0.877499998
1170,0.915799975,0.906499982,0.952899992,1.014799953,0.82889998,0.900900006,0.903699994
1180,0.921299994,0.916199982,0.926500022,0.987399995,0.799300015,0.875800014,0.873199999
1190,0.918900013,0.916299999,0.938399971,0.99849999,0.816600025,0.886900008,0.884500027
1200,0.934899986,0.916800022,0.917100012,0.975799978,0.796299994,0.867900014,0.887499988
1210,0.912100017,0.903699994,0.948300004,1.008999944,0.823899984,0.896499991,0.907999992
1220,0.893899977,0.908100009,0.960699975,1.023200035,0.836899996,0.909099996,0.861800015
1230,0.927100003,0.904500008,0.938600004,0.997799993,0.818700016,0.888100028,0.863200009
1240,0.931400001,0.896300018,0.968900025,1.032400012,0.840399981,0.915400028,0.867600024
1250,0.930199981,0.89139998,0.973800004,1.034600019,0.846899986,0.922999978,0.875800014
1260,0.909300029,0.907299995,0.938499987,1.000100017,0.810899973,0.887099981,0.847500026
1270,0.91049999,0.895200014,0.958199978,1.019099951,0.837300003,0.907500029,0.861999989
1280,0.923600018,0.896600008,0.945599973,1.006999969,0.827099979,0.894599974,0.87529999
1290,0.917500019,0.91140002,0.939300001,1.00090003,0.81309998,0.888199985,0.871699989
1300,0.894400001,0.924099982,0.968100011,1.030799985,0.844799995,0.914900005,0.887899995
1310,0.917900026,0.907299995,0.948000014,1.008999944,0.823199987,0.896600008,0.901499987
1320,0.930999994,0.917100012,0.930000007,0.990100026,0.808799982,0.880299985,0.887000024
1330,0.952099979,0.914699972,0.982900023,1.047500014,0.851499975,0.92750001,0.925999999
1340,0.909399986,0.907700002,0.946500003,1.005599976,0.82099998,0.895600021,0.900699973
1350,0.906899989,0.888400018,0.948499978,1.010400057,0.82099998,0.896300018,0.884500027
1360,0.905099988,0.939899981,0.941600025,1.001600027,0.8204,0.891099989,0.864099979
1370,0.9102,0.911899984,0.966400027,1.028699994,0.840699971,0.913100004,0.895200014
1380,0.906000018,0.905900002,0.949699998,1.013000011,0.825299978,0.898699999,0.873700023
1390,0.914200008,0.912999988,0.952799976,1.012400031,0.829699993,0.901000023,0.871999979
1400,0.913800001,0.916800022,0.935800016,0.997300029,0.813899994,0.88440001,0.871299982
1410,0.923099995,0.921000004,0.9375,0.998099983,0.817099988,0.887499988,0.895500004
1420,0.914799988,0.900099993,0.93720001,0.99940002,0.819100022,0.885699987,0.91140002
1430,0.938399971,0.921700001,0.941600025,1.003299952,0.817099988,0.890999973,0.890799999
1440,0.922299981,0.917200029,0.92900002,0.991699994,0.810000002,0.878600001,0.888800025
1450,0.923799992,0.912199974,0.963500023,1.027099967,0.83920002,0.909099996,0.898999989
1460,0.925199986,0.914699972,0.945599973,1.007400036,0.824000001,0.89410001,0.873899996
1470,0.905900002,0.911199987,0.927900016,0.989899993,0.805000007,0.877300024,0.901799977
1480,0.917800009,0.934499979,0.9375,0.996200025,0.817900002,0.888400018,0.889800012
1490,0.906899989,0.880999982,0.967100024,1.030500054,0.842299998,0.913699985,0.851599991
1500,0.92110002,0.892400026,0.956799984,1.020300031,0.829999983,0.903599977,0.865700006
1510,0.898400009,0.897099972,0.912899971,0.9727,0.792400002,0.863799989,0.880999982
1520,0.926299989,0.884299994,0.949100018,1.011000037,0.827000022,0.897300005,0.886300027
1530,0.898400009,0.889800012,0.949299991,1.012400031,0.820900023,0.896099985,0.876399994
1540,0.91900003,0.924600005,0.945500016,1.009899974,0.817300022,0.891700029,0.882300019
1550,0.917699993,0.897499979,0.957599998,1.01970005,0.833700001,0.905600011,0.883300006
1560,0.929799974,0.914900005,0.949000001,1.012500048,0.823400021,0.896700025,0.861000001
1570,0.930199981,0.884000003,0.956200004,1.020499945,0.833000004,0.903299987,0.875400007
1580,0.894200027,0.915700018,0.924899995,0.987500012,0.799799979,0.87349999,0.896099985
1590,0.90990001,0.893700004,0.946099997,1.00940001,0.825299978,0.893999994,0.855400026
1600,0.910600007,0.915300012,0.960900009,1.023499966,0.837400019,0.908500016,0.885299981
1610,0.9199,0.899900019,0.950699985,1.013700008,0.826699972,0.898699999,0.889699996
1620,0.914900005,0.906700015,0.939599991,1.002400041,0.823700011,0.887700021,0.869099975
1630,0.92869997,0.889900029,0.949899971,1.012400031,0.822600007,0.897099972,0.862699986
1640,0.912899971,0.921199977,0.938300014,0.99970001,0.813399971,0.885699987,0.886500001
1650,0.89289999,0.903800011,0.95599997,1.018700004,0.83829999,0.903199971,0.870500028
